grade,de,en,tr,article
,Aktuar,actuary,aktüer,der
A2,Aktuell,Current,Akım,Adjektiv
B1,Akzeptieren,Accept,Kabul etmek,das
B1,Alkohol,alcohol,alkol,der
B1,Alkoholfreies,Non-alcoholic,Alkolsüz,-
B1,Alkoholsucht,Alcohol addiction,Alkol bağımlılığı,-
A2,Alleine,Alone,Yalnız,-
A1,Aller,all,Hepsi,-
B1,Allerbesen,Very broom,Çok süpürge,-
B1,Allerdings,However,Fakat,-
B1,Allerschön,Very nice,Çok güzel,-
B1,Allgemein,Generally,Genel olarak,-
B1,Allgemeinbildend,General education,Genel eğitim,-
B1,Allmählich,Gradually,Gitgide,-
B1,Alltag,Everyday,Her gün,der
B1,Alltäg,Everyday life,Günlük yaşam,-
B1,Alltäglich,Everyday,Her gün,-
A2,Alltäglichen,everyday,Her gün,-
B1,Alphabet,alphabet,alfabe,das
A1,Alphabetisch,Alphabetical,Alfabetik,Adjektiv
A1,Als,as,olarak,-
A1,Also,So,Bu yüzden,-
A1,Alt,Old,Eskimiş,Adjektiv
B1,Altbau,Old building,Eski bina,der
B1,Altenheim,Nursing home,Huzurevi,das
B1,Alternativ,Alternatively,Alternatif olarak,-
B1,Alternative,alternative,alternatif,die
B1,Altersheim,retirement home,huzur evi,das
B1,Altest,Oldest,En eski,-
B1,Altpapi,Waste paper,Atık kağıt,-
B1,Ammann,Amman,Amman,-
B1,Ammännin,Ammannin,Ammannin,-
A2,Ampel,Traffic light,Trafik ışığı,die
B1,Amt,Government office,Devlet dairesi,das
B1,Amüsieren,Enjoy,Eğlence,Verb
B1,Amüsiert,Amused,eğlenerek,-
A1,An,At,Şu tarihte:,-
B1,Analysieren,Analyze,Analiz et,das
B1,Anbau,cultivation,yetiştirme,der
A1,Anbieten,Offer,Teklif,das
B1,Anbieter,Provider,sağlayıcı,der
A1,Andere,Other,Diğer,-
A1,Anderer,Another,Bir diğer,-
B1,Andererseits,on the other hand,diğer taraftan,-
A1,Anders,different,Farklı olan,-
A2,Andreas,Andrew,Andrew,-
B1,Andreasch,Andreasch,Andreasch,-
A1,Anerkennen,Recognize,Tanımak,das
,Anfahrt,Directions,Yol Tarifi,die
A1,Anfang,beginning,başlangıç,der
A1,Anfangen,Begin,Başlamak,das
B1,Anfangs,Initially,İlk olarak,-
B1,Anfänger,beginner,acemi,der
A1,Anführen,Lead,Yol göstermek,Verb
A1,Angabe,information,bilgi,die
B1,Angeben,Indicate,Belirtmek,das
A1,Angebot,offer,teklif,das
B1,Angehabt,Worn,Aşınmış,-
B1,Angehörig,Belonging,ait olma,-
B1,Angekreuzt,Ticked,İşaretli,-
B1,Angenehm,Pleasant,Güzel,-
B1,Angenehmen,Pleasant,Güzel,-
B1,Angeordneten,Arrangements,Düzenlemeler,-
B1,Angeschnallen,Fasten your seat belt,Emniyet kemerinizi bağlayın,-
B1,Angestellte,Employee,Çalışan,der
A2,Angestellter,employee,çalışan,der
B1,Anglizisme,Anglicism,İngilizce,-
B1,Anglizismen,Anglicisms,İngilizce,-
A2,Angst,Fear,Korku,die
B1,Anhaben,Attach,Eklemek,Verb
B1,Anhalten,Stop,Durmak,das
A1,Anklicken,Click,Tıklamak,Verb
A1,Ankommen,Arrive,Varmak,das
A1,Ankreuzen,Mark with a cross,çarpı işareti ile işaretleyin,das
A1,Ankunft,of arrival,varış,die
B1,Ankündigen,Announce,Duyuru,das
B1,Anlag,Attachment,EK,-
B1,Anlassen,Tempering,Temperleme,das
B1,Anleitung,Instructions,Talimatlar,die
A1,Anmachen,To turn on,Açmak için,das
B1,Anmeldefrisen,Registration deadlines,Kayıt son tarihleri,-
A1,Anmelden,Register,Kayıt olmak,das
A1,Anmeldung,registration,kayıt,die
B1,Annehmen,Assume,Farz etmek,das
B1,Annonce,Advertisement,Reklamcılık,die
B1,Annähen,Sew on,Dikmek,das
B1,Anprobieren,Try on,Deneyin,das
,Anrede,Salutation,Selamlama,die
A1,Anreden,Address,Adres,Verb
A1,Anruf,calling,Çağrı,der
A1,Anrufbeantworter,answering machine,telesekreter,der
A1,Ansage,announcement,duyuru,die
B1,Ansatz,Approach,Yaklaşmak,der
B1,Anschaffen,Acquire,Elde etmek,Verb
B1,Anschließen,Connect,Bağlamak,das
A1,Anschluss,connection,bağlantı,der
A2,Anschluß,Connection,Bağlantı,-
B1,Anschnallen,Fasten your seat belt,Emniyet kemerinizi bağlayın,das
A2,Ansehen,View,Görüş,das
B1,Ansprechen,Address,Adres,das
B1,Anspruch,Claim,İddia,der
A1,Anspruchsniveau,level of demand,talep seviyesi,-
B1,Anstellen,Hire,Kiralamak,das
B1,Anstreng,Exhausting,Yorucu,-
B1,Anstrengend,Stressful,Stresli,-
A2,Anton,Anthony,Anthony,-
B1,Antrag,Application,Başvuru,der
A1,Antwort,answer,cevap,die
A1,Antwortbogen,answer sheet,cevap kağıdı,-
B1,Anwalt,Attorney,Avukat,der
A2,Anweisung,Instruction,Talimat,die
B1,Anweisungssprach,Instruction language,Öğretim dili,-
A2,Anweisungssprech,Instructionspeak,Talimatlarspeak,-
B1,Anweisungssprechen,Instructional speaking,Eğitici konuşma,-
A2,Anwend,Application,Başvuru,-
B1,Anwesend,Present,Sunmak,-
B1,Anwältin,lawyer,avukat,die
B1,Anzahl,Number,Sayı,die
A1,Anzeige,ad,reklam,die
B1,Anzeigen,Show,Göstermek,das
A1,Anziehen,Put on,Giymek,das
A2,Anzug,Men's suit,Erkek takım elbise,der
B1,Anzuschnallen,Fasten your seat belt,Emniyet kemerinizi bağlayın,-
A1,Apfel,Apple,elma,der
A2,Apfelbaum,apple tree,elma ağacı,der
B1,Apfelkuch,Apple pie,Elmalı turta,-
A1,Apfelsaft,Apple juice,elma suyu,der
A1,Apotheke,pharmacy,eczane,die
A2,Apparat,apparatus,aparat,der
B1,Aprikos,Apricot,Kayısı,-
B1,Aprikosen,Apricots,Kayısı,-
A1,April,April,Nisan,der
A1,Arbeit,work,iş,die
A1,Arbeiter,worker,çalışan,der
B1,Arbeiterin,worker,işçi,die
A2,Arbeitest,work,iş,-
B1,Arbeitnehmer,workers,işçiler,der
B1,Arbeitsamt,Employment office,İstihdam ofisi,das
B1,Arbeitsbedingung,Working condition,Çalışma koşulu,die
A2,Arbeitserlaubnis,Work permit,Çalışma izni,die
A1,Arbeitsfassung,Working version,Çalışma sürümü,-
B1,Arbeitskollegen,work colleagues,iş arkadaşları,-
A1,Arbeitslos,Unemployed,İşsiz,Adjektiv
,Arbeitslose,Unemployed,İşsiz,die
B1,Arbeitslosigkeit,unemployment,işsizlik,die
B1,Arbeitsmarken,Work brands,İş markaları,-
A1,Arbeitsplatz,workplace,iş yeri,der
B1,Arbeitsstelle,workplace,işyeri,die
A2,Arbeitstag,working day,iş günü,der
B1,Arbeitstechnik,Working technique,Çalışma tekniği,die
B1,Arbeitsverhältnis,employment relationship,iş ilişkisi,das
B1,Arbeitszeit,Working hours,Çalışma saatleri,die
B1,Architekt,architect,mimar,der
B1,Architektin,Architect,Mimar,die
B1,Armen,poor,fakir,-
B1,Art,Art,Sanat,die
A2,Artikel,Article,Madde,der
A1,Arzt,doctor,doktor,der
B1,Arztpraxis,Doctor's office,Doktor ofisi,die
A2,Arzttermin,Doctor's appointment,Doktor randevusu,der
B1,Asyl,asylum,iltica,das
B1,At,At,Şu tarihte:,-
B1,Atem,breath,nefes,der
B1,Atmen,Breathe,Nefes almak,das
B1,Au,Ow,Ah,die
A2,Aua,Ouch,ah,-
A1,Auch,that too,o da,-
B1,Auchdreivierteldrei,Also three quarter three,Ayrıca üç çeyrek üç,-
B1,Auchvierteldrei,Also quarter past three,Ayrıca üçü çeyrek geçiyor,-
A1,Auf,up,yukarı,-
A1,Aufbauen,Build up,Kurmak,das
A2,Aufdies,On this,Bu konuda,-
B1,Aufenthalt,Stay,Kalmak,der
B1,Aufenthaltsraum,lounge,salon,der
B1,Auffallen,Stand out,Öne çıkın,das
B1,Auffordern,Request,Rica etmek,das
B1,Aufforderung,request,rica etmek,die
A2,Aufführen,Perform,Rol yapmak,das
A1,Aufgabe,task,görev,die
B1,Aufgeben,Give up,Pes etmek,das
A1,Aufgeführten,listed,listelenmiş,-
B1,Aufgelad,Charged,Ücretlendirildi,-
A1,Aufgenommen,Recorded,Kaydedildi,-
B1,Aufgeregen,Excited,Heyecanlı,-
B1,Aufgeschrieben,Written down,Yazılı,-
B1,Aufhalten,Stop,Durmak,das
B1,Aufheben,Lift,Kaldırmak,das
B1,Aufhängen,hanging,asılı,das
A1,Aufhören,Stop,Durmak,das
B1,Aufladen,Charge,Şarj,das
A1,Auflage,edition,baskı,die
A1,Auflisen,List,Liste,-
B1,Auflösen,Dissolve,Çözün,das
A2,Aufmachen,Open up,Aç,das
B1,Aufmerksam,Attentive,Özenli,-
A2,Aufnahme,Recording,Kayıt,die
B1,Aufnahmegerät,Recording device,Kayıt cihazı,das
B1,Aufnehmen,To record,Kaydetmek için,das
A2,Aufpassen,Watch out,Dikkat,das
B1,Aufregen,Excite,Heyecanlandırmak,das
A2,Aufregend,Exciting,Heyecan verici,-
A2,Aufräumen,Clean up,Temizlemek,das
B1,Aufschreiben,Write down,Yaz,das
A2,Aufstand,Uprising,Ayaklanma,der
A1,Aufstehen,Stand up,Ayağa kalk,das
A1,Auftrag,order,Emir,der
B1,Auftreten,Appear,Belli olmak,das
B1,Aufwachen,Wake up,Uyanmak,das
B1,Aufwärts,Upwards,Yukarı,-
A1,Aufzug,elevator,asansör,der
B1,Aufzumeinen,To think so,Öyle düşünmek,-
B1,Aufzustehen,To stand up,Ayağa kalkmak,-
A1,Auge,eye,göz,das
B1,Augenblick,moment,an,der
A1,August,August,ağustos,der
A1,Aus,out,dışarı,das
B1,Ausbilden,Form,Biçim,das
A1,Ausbildung,training,Eğitim,die
A1,Ausdruck,expression,ifade,der
A2,Ausdrucken,Print,Yazdır,das
B1,Ausdrücken,To express,İfade etmek,das
B1,Auseinander,Apart,Apart,-
B1,Ausfahrt,exit,çıkış,die
B1,Ausfallen,Stand out,Öne çıkın,das
A1,Ausflug,excursion,Gezi,der
A1,Ausfüllen,Fill out,Doldur,das
A1,Ausgabe,edition,baskı,die
A1,Ausgang,exit,çıkış,der
A2,Ausgeben,Spend,Harcamak,das
B1,Ausgedruckt,Printed out,Basılı çıktı,-
A2,Ausgefüllt,Filled in,Dolduruldu,-
A2,Ausgehen,Go out,Dışarı çıkmak,das
B1,Ausgemessen,Measured,Ölçülen,-
A2,Ausgepacken,Unpacked,Ambalajsız,-
B1,Ausgeschlafen,Rested,Dinlenmiş,-
A2,Ausgestiegen,Dropped out,Bırakıldım,-
A2,Ausgezog,Moved out,Taşındı,-
B1,Aushilfe,Temporary help,Geçici yardım,die
A1,Auskunft,information,bilgi,die
A1,Ausland,foreign country,yabancı ülke,das
B1,Ausleihen,Lend,Ödünç vermek,das
A1,Ausländer,Foreigner,Yabancı,der
A1,Ausländerbehörde,foreigners Authority,yabancılar Kurumu,die
A1,Ausmachen,Turn off,Kapamak,das
B1,Ausnahme,Exception,İstisna,die
A1,Ausnehmen,Gutting,İçi boşaltma,das
A2,Auspacken,unpacking,ambalajı açma,das
B1,Ausreichen,Enough,Yeterli,das
B1,Ausreichend,Sufficient,Yeterli,-
B1,Ausrichten,Align,Hizala,das
A2,Ausruhen,Relax,Rahatlamak,das
A1,Aussage,statement,ifade,die
B1,Ausschließen,Exclude,Hariç tutmak,das
B1,Ausschließlich,Exclusively,münhasıran,-
A1,Aussehen,Look,Bakmak,das
B1,Aussicht,Outlook,Görünüm,die
B1,Aussprachen,Pronunciations,Telaffuzlar,-
A2,Aussprechen,Express,İfade etmek,das
A1,Aussteigen,Exit,çıkış,das
B1,Ausstellen,Exhibit,Sergilemek,das
A2,Ausstellung,Exhibition,Sergi,die
B1,Aussuchen,Choose,Seçmek,das
A2,Austauschen,Exchange,Değişme,das
A2,Austrag,discharge,deşarj,der
A1,Auswahl,selection,seçim,die
A2,Auswahlkriterium,Selection criterion,Seçim kriteri,-
A1,Ausweis,ID card,kimlik kartı,der
B1,Auswählen,Choose,Seçmek,das
A1,Auswählt,Selects,Seçer,-
B1,Auszeichnen,Award,Ödül,das
A1,Ausziehen,Get undressed,Soyun,das
A2,Auszubildend,Trainee,Stajyer,-
A1,Auszug,abstract,soyut,der
A1,Autobahn,highway,otoyol,die
B1,Autofabrik,Car factory,Araba fabrikası,die
B1,Autofahren,Drive a car,Araba sür,das
B1,Autofahrer,Driver,Sürücü,der
B1,Automechaniker,Car mechanic,Araba tamircisi,der
B1,Automobilmesse,Automobile show,Otomobil fuarı,die
A2,Autor,author,yazar,der
A2,Autorin,Author,Yazar,die
B1,Autotürn,car doors,araba kapıları,-
A2,Autozu,Autozu,Autozu,-
B1,Außen,Outside,Dıştan,-
A2,Außer,Except,Hariç,-
A1,Außerdem,Besides that,bunun yanı sıra,-
A2,Außerhalb,Outside,Dıştan,-
B1,Aydin,Aydin,Aydın,-
B1,Azubi,Trainee,Stajyer,der
B1,Aß,Ate,yedim,-
A2,Babysitter,baby-sitter,bebek bakıcısı,der
B1,Babysitterin,babysitter,bebek bakıcısı,die
A2,Bachstraße,Bachstrasse,Bachstrasse,die
B1,Back,Bake,Pişmek,-
A2,Backen,Bake,Pişmek,der
B1,Backform,baking pan,fırın tepsisi,die
A2,Backt,Bakes,Fırınlar,-
A1,Bad,bathroom,banyo,das
B1,Badewanne,Bathtub,Küvet,die
A2,Badezimm,bathroom,banyo,-
A1,Bahn,train,tren,die
A1,Bahnhof,station,istasyon,der
B1,Bahnhofsrestaurant,Station restaurant,İstasyon restoranı,-
A1,Bahnsteig,platform,platform,der
A2,Bahnsteigen,platforms,platformlar,-
A1,Bald,Soon,Yakında,-
A2,Ball,ball,top,der
B1,Ballett,ballet,bale,das
B1,Bananen,Bananas,Muz,-
B1,Bancomat,ATM,ATM,der
A2,Band,band,bant,das
B1,Bankkonto,bank account,banka hesabı,das
B1,Bankleitzahl,Bank routing number,Banka yönlendirme numarası,die
B1,Bankomat,ATM,ATM,der
B1,Baren,Baren,Baren,-
B1,Bares,Cash,Peşin,-
B1,Bargeld,cash,peşin,das
A2,Basketball,basketball,basketbol,der
B1,Bastelmaterialie,Craft materials,Zanaat malzemeleri,-
A2,Basteln,Craft,Zanaat,das
B1,Batterie,battery,pil,die
B1,Bau,Building,Bina,der
A1,Bauch,belly,göbek,der
A2,Bauchschmerz,stomach pain,mide ağrısı,der
A2,Bauen,Build,İnşa etmek,das
A2,Bauer,farmer,çiftçi,der
B1,Bauernhof,Farm yard,Çiftlik avlusu,der
B1,Bauingenieur,Civil engineer,İnşaat mühendisi,der
A1,Baum,tree,ağaç,der
A2,Baustelle,Construction site,İnşaat alanı,die
B1,Baustellenbereich,Construction site area,İnşaat alanı,-
B1,Baustil,Architectural style,Mimari tarz,der
A2,Bayern,Bavaria,Bavyera,das
A2,Beachten,Observe,Gözlemlemek,das
A1,Beamter,official,resmi,-
A1,Beamtin,officer,memur,die
B1,Beantragen,Apply for,Başvur,das
A2,Beantworten,Answer,Cevap,das
A2,Bearbeit,Edit,Düzenlemek,-
B1,Bearbeiten,Edit,Düzenlemek,das
A2,Bedanken,Thank you,Teşekkür ederim,das
A2,Bedeu,Meaning,Anlam,-
A1,Bedeuten,Mean,Anlam,das
A1,Bedeutung,meaning,anlam,die
B1,Bedienen,Serve,Sert,das
B1,Bedienungsanleitung,Instruction manual,Kullanım kılavuzu,die
B1,Bedingung,Condition,Durum,die
A2,Bedürfen,need,ihtiyaç,-
A2,Beeil,Hurry,Acele etmek,-
A2,Beeilen,Hurry up,Acele etmek,das
B1,Beeinflus,influence,etkilemek,-
B1,Beeinflussen,Influence,Etkilemek,das
A2,Beenden,Finish,Sona ermek,das
A1,Befinden,Condition,Durum,das
B1,Befreien,Liberate,Özgürleştir,das
B1,Befriedigend,Satisfactory,Tatmin edici,-
A1,Begegnen,Encounter,Rastlamak,das
B1,Begeistert,Enthusiastic,Hevesli,-
B1,Beginn,beginning,başlangıç,der
A1,Beginnen,Begin,Başlamak,das
B1,Begleiten,Accompany,Refakatçi,das
B1,Begrenzen,Limit,Sınır,das
A2,Begriff,Expression,İfade,der
B1,Begriffe,Terms,Şartlar,-
A2,Begründen,Justify,Savunmak,das
B1,Begründung,Justification,Gerekçe,die
B1,Begrüßen,Greet,Selamlaşmak,das
B1,Behalten,Keep,Kale,das
B1,Behandeln,Treat,Davranmak,das
B1,Behandlung,Treatment,Tedavi,die
B1,Behaupten,Claim,İddia,das
A1,Beherrschen,Command,Emretmek,das
,Behind,Behind,Arka,das
B1,Behindern,Obstruct,Engelle,Verb
B1,Behörde,authority,yetki,die
B1,Beid,Both,İkisi birden,-
A1,Beide,Both,İkisi birden,-
A1,Bein,leg,bacak,das
B1,Beinahe,Almost,Neredeyse,-
B1,Beingen,Beinen,Beinen,-
A1,Beispiel,example,örnek,das
A1,Beispielsatz,Example sentence,Örnek cümle,der
A1,Beispielsweise,For example,Örneğin,-
B1,Beitrag,Contribution,Katkı,der
B1,Beißen,Bite,Isırmak,das
A1,Bekannt,Known,Bilinen,Adjektiv
,Bekannte,Acquaintance,tanıdık,die
A1,Bekomme,Get,Elde etmek,-
A1,Bekommen,Receive,Almak,das
B1,Beleg,document,belge,der
B1,Belegen,Prove,Kanıtlamak,das
B1,Beleidigen,Insult,Hakaret,das
,Belieben,At will,isteğe göre,das
A2,Beliebt,Popular,Popüler,Adjektiv
B1,Bemerken,Notice,Fark etme,das
B1,Bemühen,Make an effort,Çaba göster,das
B1,Benutz,Use,Kullanmak,-
A1,Benutzen,Use,Kullanmak,das
B1,Benzinpreise,Gasoline prices,Benzin fiyatları,-
B1,Benötigen,Need,İhtiyaç,das
B1,Beobachten,Observe,Gözlemlemek,das
A2,Bequem,Comfortable,Rahat,Adjektiv
A2,Bequemen,Comfortable,Rahat,-
A2,Beraten,Advise,Öğüt vermek,das
A2,Beratung,Advice,Tavsiye,die
B1,Berechnen,Calculate,Hesaplamak,das
A1,Bereich,area,alan,der
B1,Bereit,Ready,Hazır,-
A2,Bereiten,Prepare,Hazırlanmak,das
B1,Bereits,Already,Çoktan,-
A2,Berg,Mountain,Dağ,der
A1,Berghaus,mountain house,dağ evi,-
B1,Bergmann,Miner,Madenci,der
B1,Bericht,report,rapor,der
A2,Berichten,Report,Rapor,das
A1,Beruf,job,iş,der
B1,Berufen,professions,meslekler,das
A1,Beruflich,Professionally,Profesyonelce,Adjektiv
B1,Berufsbildende,Vocational education,Mesleki eğitim,-
B1,Berufsmittelschule,Vocational secondary school,Meslek orta okulu,-
B1,Berufsschule,Vocational school,Meslek okulu,die
B1,Berufstätig,Working,Çalışma,-
,Beruhen,Rest,Dinlenmek,das
B1,Beruhig,Calm down,Sakin ol,-
B1,Beruhigen,Calm,Sakinlik,das
B1,Berücksichtigen,Take into account,dikkate al,das
A2,Berühmt,Famous,Ünlü,Adjektiv
B1,Berühren,Touch,Dokunmak,das
,Besatz,Stocking,Çorap,der
A2,Bescheid,Notice,Fark etme,der
B1,Beschließen,Decide,Karar vermek,das
B1,Beschloss,Decided,Karar verilmiş,-
A2,Beschreiben,Describe,Betimlemek,das
B1,Beschreibung,Description,Tanım,die
A1,Beschriebenen,described,tarif edildi,-
B1,Beschränken,Restrict,Kısıtlamak,das
A2,Beschweren,Complain,Şikayet etmek,das
B1,Beschädigen,Damage,Zarar,das
B1,Beschäftigen,Occupy,işgal,das
B1,Beschäftigung,occupation,meslek,die
B1,Besessen,Obsessed,Takıntılı,-
A1,Besetzen,Occupy,İşgal etmek,Verb
A1,Besichtigen,View,Görüş,das
B1,Besitzen,Own,Sahip olmak,das
B1,Besond,Special,Özel,-
B1,Besonderer,More special,Daha özel,Adjektiv
A2,Besonders,Particularly,Özellikle,-
B1,Besorgen,Obtain,Elde etmek,das
B1,Besorgst,Worried,Endişeli,-
B1,Besorgt,Worried,Endişeli,-
B1,Besprach,Discussed,Tartışıldı,-
B1,Besprech,Discussion,Tartışma,-
B1,Besprechung,Meeting,Toplantı,die
B1,Besprichen,Discuss,Tartışmak,-
B1,Besseres,Better,Daha iyi,-
B1,Besserung,improvement,gelişim,die
,Bestand,inventory,envanter,der
A1,Bestandteil,component,bileşen,der
A2,Bestehen,Consist,Meydana gelmek,das
A1,Bestellen,Order,Emir,das
B1,Bestimmen,Determine,Belirlemek,das
B1,Bestrafen,Punish,Cezalandır,das
A2,Bestätigen,Confirm,Onaylamak,das
B1,Bestätigung,Confirmation,Onay,die
A1,Besuch,visit,ziyaret,der
A2,Besuchst,visiting,ziyaret,-
B1,Beteiligen,Participate,Katılmak,das
B1,Betrag,Amount,Miktar,der
B1,Betragen,Be,Olmak,das
B1,Betreiben,Operate,Çalıştır,das
B1,Betreten,Enter,Girmek,das
B1,Betreu,Care,Bakım,-
B1,Betreuen,Look after,Göz kulak olmak,das
B1,Betreuerin,carer,bakıcı,die
B1,Betreun,Caring for,Bakım,-
B1,Betreuung,Care,Bakım,die
B1,Betriebsrat,Works council,Çalışma konseyi,der
B1,Betriebsrätin,Works councilor,İş konseyi üyesi,-
B1,Betriebssyst,Operating system,İşletim sistemi,-
B1,Betrog,Cheating,Hile,-
B1,Betrunken,Drunk,Sarhoş,-
B1,Betrüg,Fraud,Sahtekar,-
B1,Betrügn,Cheating,Hile,-
A1,Bett,bed,yatak,das
B1,Bevor,Before,Önce,-
B1,Bevölkerung,Population,Nüfus,die
B1,Bewegen,Move,Taşınmak,das
B1,Bewegung,Movement,Hareket,die
B1,Beweis,Proof,Kanıt,der
B1,Beweisen,Prove,Kanıtlamak,das
A2,Bewerben,Apply,Uygula,das
A2,Bewerbung,Application,Başvuru,die
A2,Bewirbe,Apply,Uygula,-
A1,Bewohner,resident,sakin,der
B1,Bewohnerin,resident,ikamet eden kişi,die
B1,Bewundern,Admire,Beğenmek,das
A1,Bewältigung,Coping,başa çıkma,die
A2,Bewölken,Cloudy,Bulutlu,das
A1,Bezahlen,Pay,Ödemek,das
B1,Bezahlung,pay,ödemek,die
A1,Bezeichnen,Describe,Betimlemek,das
B1,Bezeichnung,Designation,Tanım,die
A1,Beziehung,relationship,ilişki,die
B1,Beziehungsweise,Respectively,Sırasıyla,-
B1,Bezirksschule,District school,Bölge okulu,-
B1,Bhs,Bras,Sütyen,-
A2,Bibliothek,library,kütüphane,die
B1,Biegen,Bending,Bükme,das
B1,Biener,Bees,Arılar,-
A1,Bier,beer,bira,das
A2,Bieten,Offer,Teklif,das
B1,Bike,Bike,Bisiklet,das
A1,Bild,image,görüntü,das
A1,Bilden,Form,Biçim,das
B1,Bildschirm,Screen,Ekran,der
A1,Bildung,Education,Eğitim,die
A2,Bildungseinrichtung,Educational institution,Eğitim kurumu,die
B1,Billet,Billet,Kütük,-
B1,Billett,Ticket,Bilet,das
A1,Billig,Cheap,Ucuz,Adjektiv
B1,Billigen,Approve,Onaylamak,das
B1,Bin,Am,Ben,-
B1,Bio,Organic,Organik,-
B1,Bioabfall,Organic waste,Organik atık,-
B1,Biogemüse,Organic vegetables,Organik sebzeler,-
A2,Biologie,biology,biyoloji,die
B1,Biologisch,Biological,Biyolojik,-
A1,Birne,pear,Armut,die
A1,Bis,bis,bis,-
B1,Bisher,Until now,şimdiye kadar,-
B1,Biss,bite,ısırmak,der
A1,Bisschen,a little bit,bir nebze,das
A1,Bitte,request,talep,die
A2,Bittedas,Pleasethis,Lütfen bunu,-
A2,Bittedeine,Please yours,Lütfen senin,-
A2,Bitteden,Please,Lütfen,-
A2,Bittedie,Pleasedie,Lütfenöl,-
A2,Bitteein,Please,Lütfen,-
A2,Bitteeinen,Please one,Lütfen bir tane,-
A2,Bittegenauer,Please be more specific,Lütfen daha spesifik olun,-
A2,Bittein,Please,Lütfen,-
A2,Bittemal,Please,Lütfen,-
A2,Bittemorgen,Please tomorrow,Lütfen yarın,-
A1,Bitten,Ask,Sormak,das
A2,Bittenehme,Please take it,Lütfen al,-
A1,Bitter,Bitter,Acı,der
A2,Bitteschön,Please,Lütfen,das
B1,Björn,Bjorn,Bjorn,-
,Blase,bubble,kabarcık,die
B1,Blass,Pale,Solgun,Adjektiv
A2,Blatt,Sheet,Çarşaf,das
A1,Blau,Blue,Mavi,das
A2,Blauen,Blues,Blues,Verb
B1,Blauer,Bluer,Daha mavi,-
A1,Bleiben,Remain,Geriye kalmak,das
A2,Bleibst,Stay,Kalmak,-
A1,Bleistifen,pencils,kalemler,-
A1,Blick,view,görünüm,der
B1,Blind,Blind,Kör,Adjektiv
,Blinde,Blind people,Kör insanlar,die
B1,Blitz,flash,flaş,der
B1,Blitzen,Flash,Flaş,das
